Invoice Type,Bill To GCI,Name,Bill to GCI Br,CC,UsageDistinction,EI Invoice Ref,File,TC,Canceling Inv Reference,Issue Date,Issue Date Month,Issue Date Year,Amount,Currency,Foreign Amount,Foreign Currency,VAT Amount,Tax Invoice Status,Internal Tax Ref,Vat Invoice Ref,Vat Issue Date,Vat Issue Date Month,Vat Issue Date Year,First Vat Inv Ref,First Vat Issue Date,First Vat Issue Date Month,First Vat Issue Date Year,Consol,Service Order,MBL,HBL
ICR,G3196919,约翰迪尔（天津）有限公司,38,CN,,C380128932,2380299151,,,3-Sep-20,9,2020,-6,CNY,,,0,CONFIRMED,T200009159,01200200011187319689,3-Sep-20,9,2020,01200200011187319689,3-Sep-20,9,2020,ORD1521547,,180-47690101,4041851642
ICR,G0303261,霍尼韦尔自动化控制（中国）有限公司,38,CN,,C380128969,2380298765,,,7-Sep-20,9,2020,-221.48,CNY,,,0,CONFIRMED,T200009385,01200200031109839437,7-Sep-20,9,2020,01200200031109839437,7-Sep-20,9,2020,AMS1323131,,988-21785256,4540170277
ICR,G2881731,邢台荣越玻璃科技有限公司,38,CN,,C380128986,5380141057,,,10-Sep-20,9,2020,-2015,CNY,,,0,CONFIRMED,T200009429,01200200031109839478,10-Sep-20,9,2020,01200200031109839478,10-Sep-20,9,2020,,,MEDUT2732625,
ICR,G1170874,天津经济技术开发区报关行,38,CN,,C380129077,7380086098,,,21-Sep-20,9,2020,-44.67,CNY,,,0,CONFIRMED,T200009829,01200200031109839866,21-Sep-20,9,2020,01200200031109839866,21-Sep-20,9,2020,ORD8072702,,ORD8072702,6040151671
INV,G2085899,大众汽车自动变速器（天津）有限公司,38,CN,,E381328299,4380338780,,,5-Jul-20,7,2020,2779.68,CNY,,,0,CONFIRMED,T200009405,01200200031109839456,8-Sep-20,9,2020,01200200031109839456,8-Sep-20,9,2020,,,000-72430551,
INV,G0327276,空中客车（天津）总装有限公司,38,CN,,E381329182,2380298265,,,10-Jul-20,7,2020,3419.28,CNY,,,0,CONFIRMED,T200009351,01200200011187319879,7-Sep-20,9,2020,01200200011187319879,7-Sep-20,9,2020,AMS1321580,,180-64118703,4480588650
INV,G0624449,霍尼韦尔（天津）有限公司,38,CN,,E381330996,2380298679,,,24-Jul-20,7,2020,6316.83,CNY,,,0,CONFIRMED,T200009132,01200200011187319663,2-Sep-20,9,2020,01200200011187319663,2-Sep-20,9,2020,FRA1233637,,756-68378380,4560271896
INV,G0624449,霍尼韦尔（天津）有限公司,38,CN,,E381331075,2380298734,,,27-Jul-20,7,2020,2735.42,CNY,,,0,CONFIRMED,T200009132,01200200011187319663,2-Sep-20,9,2020,01200200011187319663,2-Sep-20,9,2020,ORD1519295,,180-47810265,4210194955
INV,G0303261,霍尼韦尔自动化控制（中国）有限公司,38,CN,,E381331076,2380298733,,,27-Jul-20,7,2020,1383.81,CNY,,,0,CONFIRMED,T200009385,01200200031109839437,7-Sep-20,9,2020,01200200031109839437,7-Sep-20,9,2020,ORD1519295,,180-47810265,4210194879
INV,G0303261,霍尼韦尔自动化控制（中国）有限公司,38,CN,,E381331080,2380298750,,,27-Jul-20,7,2020,3170.97,CNY,,,0,CONFIRMED,T200009385,01200200031109839437,7-Sep-20,9,2020,01200200031109839437,7-Sep-20,9,2020,LAX1519023,,988-24458733,42L0106612
INV,G2489218,力容新能源技术（天津）有限公司,38,CN,,E381331134,7380085685,,,27-Jul-20,7,2020,318,CNY,,,18,CONFIRMED,T200009383,120020116000422342,7-Sep-20,9,2020,120020116000422342,7-Sep-20,9,2020,,,ONEYRICAW8860500,OE-500299
INV,G2818320,中轻联创（天津）电子商务有限公司,38,CN,,E381331497,6380194350,,,28-Jul-20,7,2020,11227.68,CNY,1600,USD,0,CONFIRMED,T200009793,01200200031109839830,18-Sep-20,9,2020,01200200031109839830,18-Sep-20,9,2020,TSN8122894,,MAEU203814771,
INV,G0303261,霍尼韦尔自动化控制（中国）有限公司,38,CN,,E381331560,2380298765,,,29-Jul-20,7,2020,18820.86,CNY,,,0,CONFIRMED,T200009385,01200200031109839437,7-Sep-20,9,2020,01200200031109839437,7-Sep-20,9,2020,AMS1323131,,988-21785256,4540170277
INV,G0225185,纬湃汽车电子（天津）有限公司,38,CN,,E381331665,2380298729,,,29-Jul-20,7,2020,1629.32,CNY,,,0,CONFIRMED,T200009370,01200200031109839424,7-Sep-20,9,2020,01200200031109839424,7-Sep-20,9,2020,ORD1519295,,180-47810265,4041849306
INV,G0303261,霍尼韦尔自动化控制（中国）有限公司,38,CN,,E381331726,2380298733,,,30-Jul-20,7,2020,192,CNY,,,0,CONFIRMED,T200009382,01200200031109839435,7-Sep-20,9,2020,01200200031109839435,7-Sep-20,9,2020,ORD1519295,,180-47810265,4210194879
INV,G1874767,北京席梦思床褥家具有限公司,38,CN,,E381331750,7380085771,,,30-Jul-20,7,2020,314.56,CNY,,,0,CONFIRMED,T200009146,01200200011187319677,2-Sep-20,9,2020,01200200011187319677,2-Sep-20,9,2020,TYO8097438,,TYO8097438,6930174669
INV,G0688608,霍尼韦尔(天津)有限公司,38,CN,,E381331760,8380028842,,,30-Jul-20,7,2020,7634.31,CNY,,,0,CONFIRMED,T200009182,01200200011187319712,3-Sep-20,9,2020,01200200011187319712,3-Sep-20,9,2020,FRAT061104,,EIOW-560047649,H560022899
INV,G2861979,埃恩斯工业技术（天津）有限公司,38,CN,,E381331790,2380298691,,,30-Jul-20,7,2020,2257.91,CNY,,,0,CONFIRMED,T200009130,01200200011187319661,2-Sep-20,9,2020,01200200011187319661,2-Sep-20,9,2020,ORD1519294,,180-47810140,4041849074
INV,G2881731,邢台荣越玻璃科技有限公司,38,CN,,E381331894,5380141057,,,30-Jul-20,7,2020,9060,CNY,,,0,CONFIRMED,T200009429,01200200031109839478,10-Sep-20,9,2020,01200200011187318312,31-Jul-20,7,2020,,,MEDUT2641628,
INV,G0207522,通用半导体（中国）有限公司,38,CN,,E381331940,2380298684,,,31-Jul-20,7,2020,2746.22,CNY,,,0,CONFIRMED,T200009044,01200200011187319587,1-Sep-20,9,2020,01200200011187319587,1-Sep-20,9,2020,TPE1334878,,695-20127111,4812259906
INV,G1557083,通用电气医疗系统(天津)有限公司,38,CN,,E381331972,7380085209,,,31-Jul-20,7,2020,8444.02,CNY,,,0,CONFIRMED,T200009199,01200200011187319729,3-Sep-20,9,2020,01200200011187319729,3-Sep-20,9,2020,ORD8071673,,SNKO011200602675,6170090579
INV,G1526510,医科达（北京）医疗器械有限公司,38,CN,,E381331986,6380191731,,,31-Jul-20,7,2020,2882.32,CNY,,,0,CONFIRMED,T200010013,01200200031109840043,23-Sep-20,9,2020,01200200031109840043,23-Sep-20,9,2020,TSN8121027,,LSD13TJ2004223,
INV,G1764865,天津井上高分子材料制品有限公司,38,CN,,E381331995,7380085871,,,31-Jul-20,7,2020,519.4,CNY,,,29.4,CONFIRMED,T200009427,120020116000422343,9-Sep-20,9,2020,120020116000422343,9-Sep-20,9,2020,,,SNLANYCL551324,
INV,G2247055,天津协进电子有限公司,38,CN,,E381332110,6380195010,,,3-Aug-20,8,2020,1623.1,CNY,,,0,CONFIRMED,T200009247,01200200011187319777,3-Sep-20,9,2020,01200200011187319777,3-Sep-20,9,2020,TSN8123225,,SC16HMTH9109,
INV,G0730177,天津鲸普电子有限公司,38,CN,,E381332122,6380195040,,,3-Aug-20,8,2020,586.1,CNY,,,0,CONFIRMED,T200009246,01200200011187319776,3-Sep-20,9,2020,01200200011187319776,3-Sep-20,9,2020,TSN8123240,,SC16HMTH9115,
INV,G0727947,天津裕林迪基泰电子有限公司,38,CN,,E381332124,6380195038,,,3-Aug-20,8,2020,873.5,CNY,,,0,CONFIRMED,T200009245,01200200011187319775,3-Sep-20,9,2020,01200200011187319775,3-Sep-20,9,2020,TSN8123240,,SC16HMTH9115,
INV,G0348562,天津星主音响有限公司,38,CN,,E381332126,6380195042,,,3-Aug-20,8,2020,850,CNY,,,0,CONFIRMED,T200009248,01200200011187319778,3-Sep-20,9,2020,01200200011187319778,3-Sep-20,9,2020,TSN8123240,,SC16HMTH9115,
INV,G0624449,霍尼韦尔（天津）有限公司,38,CN,,E381332132,2380298872,,,3-Aug-20,8,2020,4521.05,CNY,,,0,CONFIRMED,T200009132,01200200011187319663,2-Sep-20,9,2020,01200200011187319663,2-Sep-20,9,2020,ORD1522149,,180-47811750,4210195056
INV,G0303261,霍尼韦尔自动化控制（中国）有限公司,38,CN,,E381332133,2380298855,,,3-Aug-20,8,2020,2323.56,CNY,,,0,CONFIRMED,T200009385,01200200031109839437,7-Sep-20,9,2020,01200200031109839437,7-Sep-20,9,2020,AMS1323577,,172-42998443,4540170457
INV,G1874767,北京席梦思床褥家具有限公司,38,CN,,E381332135,7380085436,,,3-Aug-20,8,2020,11769.39,CNY,,,0,CONFIRMED,T200009147,01200200011187319678,2-Sep-20,9,2020,01200200011187319678,2-Sep-20,9,2020,YVR84542,,EGLV465077084969,6350014896
INV,G0303261,霍尼韦尔自动化控制（中国）有限公司,38,CN,,E381332136,2380298750,,,3-Aug-20,8,2020,287.5,CNY,,,0,CONFIRMED,T200009382,01200200031109839435,7-Sep-20,9,2020,01200200031109839435,7-Sep-20,9,2020,LAX1519023,,988-24458733,42L0106612
INV,G0288265,日新(天津)塑胶有限公司,38,CN,,E381332323,6380194972,,,3-Aug-20,8,2020,16461.45,CNY,,,0,CONFIRMED,T200009601,01200200031109839642,15-Sep-20,9,2020,01200200031109839642,15-Sep-20,9,2020,TSN8123325,,SITGTXHP298776,
INV,G0225185,纬湃汽车电子（天津）有限公司,38,CN,,E381332393,2380298515,,,4-Aug-20,8,2020,14882.22,CNY,,,0,CONFIRMED,T200009370,01200200031109839424,7-Sep-20,9,2020,01200200031109839424,7-Sep-20,9,2020,AMS1322034,,921-40421566,41A0132837
INV,G0225185,纬湃汽车电子（天津）有限公司,38,CN,,E381332397,2380298565,,,4-Aug-20,8,2020,3381.54,CNY,,,0,CONFIRMED,T200009370,01200200031109839424,7-Sep-20,9,2020,01200200031109839424,7-Sep-20,9,2020,FRA1232601,,172-42922353,422214127
INV,G0225185,纬湃汽车电子（天津）有限公司,38,CN,,E381332399,2380298569,,,4-Aug-20,8,2020,6514.04,CNY,,,0,CONFIRMED,T200009370,01200200031109839424,7-Sep-20,9,2020,01200200031109839424,7-Sep-20,9,2020,FRA1232601,,172-42922353,41A0132787
INV,G0225185,纬湃汽车电子（天津）有限公司,38,CN,,E381332401,2380298590,,,4-Aug-20,8,2020,1379.06,CNY,,,0,CONFIRMED,T200009370,01200200031109839424,7-Sep-20,9,2020,01200200031109839424,7-Sep-20,9,2020,ORD1520921,,999-76437115,4041848146
INV,G0225185,纬湃汽车电子（天津）有限公司,38,CN,,E381332405,2380298637,,,4-Aug-20,8,2020,10740.22,CNY,,,0,CONFIRMED,T200009370,01200200031109839424,7-Sep-20,9,2020,01200200031109839424,7-Sep-20,9,2020,FRA1232606,,172-42922401,422214147
INV,G0225185,纬湃汽车电子（天津）有限公司,38,CN,,E381332407,2380298717,,,4-Aug-20,8,2020,17103.62,CNY,,,0,CONFIRMED,T200009370,01200200031109839424,7-Sep-20,9,2020,01200200031109839424,7-Sep-20,9,2020,AMS1322911,,921-40421301,41A0133056
INV,G0225185,纬湃汽车电子（天津）有限公司,38,CN,,E381332410,2380298774,,,4-Aug-20,8,2020,19550.26,CNY,,,0,CONFIRMED,T200009370,01200200031109839424,7-Sep-20,9,2020,01200200031109839424,7-Sep-20,9,2020,FRA1232607,,172-42922412,422214182
INV,G2113644,莱斯安全阀门（天津）有限公司,38,CN,,E381332466,7380085576,,,4-Aug-20,8,2020,10020.25,CNY,,,0,CONFIRMED,T200009145,01200200011187319676,2-Sep-20,9,2020,01200200011187319676,2-Sep-20,9,2020,BOM8089521,,COSU7224868910,62C0156558
INV,G0303261,霍尼韦尔自动化控制（中国）有限公司,38,CN,,E381332559,2380298765,,,5-Aug-20,8,2020,1202,CNY,,,0,CONFIRMED,T200009382,01200200031109839435,7-Sep-20,9,2020,01200200031109839435,7-Sep-20,9,2020,AMS1323131,,988-21785256,4540170277
INV,G0288265,日新(天津)塑胶有限公司,38,CN,,E381332581,2380298876,,,5-Aug-20,8,2020,392.34,CNY,,,0,CONFIRMED,T200009179,01200200011187319709,3-Sep-20,9,2020,01200200011187319709,3-Sep-20,9,2020,HKG0766613,,999-75141570,4913808652
